,term,Alternate forms and synonyms.,Other language examples (back translations),Meaning notes. Definitions.,Related (but different) terms,Mcaulay suggestions / comments,Galen's notes/drafts,Galen's rationale,
t,servant,servants,,"A servant helps or works for someone else. Servants can (1) work for pay, (2) be a captured slave, (3) or serve freely. Servants working for a powerful man were more important than poor men who were not servants. Prophets and Christians are called the Lord's servants because they serve the Lord freely who is their Master.",slave,,,GC 07-Feb-19,
t,shame,"shamed, shames, shameful",,Shame is a feeling or emotion that comes from guilt.  To shame others is to tell bad actions that they have done. Humans feel shame or ashamed when they strongly wish they had not done something wrong. Jesus died for us to remove our shame so we may feel foregiven and loved.,"guilt, forgive",,,GC 23-Feb-2019,
n,Shechem,,,"After a wicked man named Shechem raped Jacob's daughter Dina, her brothers killed him. 
A clan of Canaanites was called Shechem. 
There was a town named Shechem that became on of seven ""cities of refuge"" in Israel where accused murders could flee for protection. 
(The name Shechem may mean Life.)",,,,GC 19-Feb-19,
t,sheep,,sipsip (K); sip (R);,"Sheep are quiet and shy animals bigger than dogs. They are similar to goats but have fat tails.  They stay in flocks or herds and grow long hair/fur/wool. Humans keep sheep, shear off their wool to make cloth, and sometimes eat their meat. Israelites often sacrificed sheep to worship God. A male sheep is called a ram.  A female sheep is called a ewe.  A baby sheep is called a lamb.  John the baptizer and John the revelator called Jesus the Lamb of God.  (Jesus called himself a shepherd and called us his sheep.)","shepherd, goat",,,Sheep herding folk will chuckle at this.,
t,shepherd,shepherds,,"Those who lead and protect sheep or goats are called shepherds. Jesus called himself our Good Shepherd, because he leads us to God and takes care of us.","sheep, goat",,,GC 23-Feb-2019,
n,Shiloh,,,"Shiloh was a town in Judah Province where the old worship tent was kept, with the Ark of the Covenant, after the Israelites settled in Canaan. The Prophet Samuel came from Shiloh.",,,,GC 07-Feb-19,
t,ship,ships,,"Ships are very large boats that carry passengers and cargo long distances, and sail on the ocean.","dingy, boat",,,GC 19-Feb-19,
n,Sidon,,,"Sidon was a rich, pagan, enemy city, near the sea, to the North of Israel, where they worshipped other gods. Wicked Queen Jezabel came from Sidon. Jesus once went there to help one widow and her young daughter. (The name Sidon means Fish Town.)",,,,GC 19-Feb-2019,
t,silver,,,"Silver is a bright, expensive metal used to make cups, pots, bowls and money coins.",gold,,,GC 19-Feb-2019,
n,Simon,Simeon,,"There were many men named Simon, another way to say the name is Simeon. The Apostle Peter was called Simon and Cephas.",,,,GC 08-Mar-2019,
t,sin,"sinning, sins, sinned, wickedness, evil, ","bad doings/thinking; bad behaviour (R);
(resulting in) guilt;
doing things that God does not like/want;
going in bad/wrong ways;
doing something that God thinks is bad (G);
","Every human action that displeases God is a sin. Sins that violate God's Law are transgressions. Sins that violate human law are crimes. All humans who survive infancy commit sins. Whenever a person breaks any commandment of God, it is sin. Whether it is something small or big in the eyes of human beings, it is still sin in God's eyes. (Because Jesus died on his cross because of our sins, God can forgive us all of our sins.)",right,,,,
n,Sinai,,,"God met with Moses on a mountain called Sinai in Arabia, where God wrote Ten Commandmens on stones, and made a covenant with the Israelites.",,,,Some researchers now believe that Sinai is Jebel-Musaa (Mt. Moses) in Saudi Arabia.,
t,slave,"slaves, bondslave",,"In ancient times, most coutries had two kinds of citizens: freemen who did not belong to another man, and slaves or bondslaves who belonged to someone else whom they served without pay. Some slaves were war captives, others were made slaves because they could not pay their debts. If a slave could earn and save money, then he could buy his freedom. ",servant,,,GC 07-Feb-19,
t,snake,"serpent, snakes, serpents",,"Snakes are long, thin beasts/animals that have no legs or feet. Some snakes kill other animals by biting them with poison. Others kill by wrapping themselves around another animal and squeezing them. ",dragon,,,GC 15-Feb-2019,
n,Sodom,Sodomites,,"Sodom was the name of the town where Lot and his family dwelt, near a town called Gomorrah. The men of Sodom and Gomorrah committed terrible sexual sins. Because of this, God destroyed these towns with fire.",,,,,
n,Solomon,,,"Solomon, whose name means Peace, was one of King David's sons. Bathsheba was Solomon's mother.  Solomon became king after David, and it was he who built the first temple for God at Jerusalem. Because Solomon humbled himself before God, God made him both wise and extremely rich. (However, Solomon later sinned by marrying many wives and allowing them to worship pagan gods.)",,,,,
t,Son of God,God's Son,"God in human form; Child of God (R);
a man who is God; God!;
God's Son (G) (Mark 15:39);
","In Israel, God called kings his sons and himself their Father. Thus, 'Son of God' became a title for kings, and 'The Son of God' a title for the great King called the Messiah or Christ. (The New Testament reveals that Jesus is the Son of God, and that Jesus is God born in human flesh.)","Son of Man, Messiah",,,"GC: Theologians go through all kinds of contortions to make biblical titles fit their metaphysical speculations. Whilst Jesus is truly human and well as truly God, that is not the main purpose of the title.",
t,Son of Man,Man's Son,"son of a human; Child of Man (R);
Man's Son (G); 
the Human One;
the Heavenly Man;","The prophet Daniel once saw a vision of someone in heaven who looked like 'a son of man,' having great authority from God over all nations of the world. His future kingdom and reign will never end or be destroyed. Jesus often called himself the Son of Man, in order to teach that he himself is the person in Daniel's vision who has come from heaven in human flesh. (The Book of Revelation describes Jesus several times as the Son of Man in the midst of believers and as a reaper or harvester.)","Son of God, Messiah
",,,"GC: Theologians go through all kinds of contortions to make biblical titles fit their metaphysical speculations. Whilst Jesus is truly human and well as truly God, that is not the main purpose of the title.
GC: Smoothed out the syntax a bit.",
t,spear,,,Spears are weapons that have a long wooden shaft and a sharp point. Soldiers used to thrust or throw spears at enemies in battle. ,,,,GC 08-Mar-2019,
t,spirit,"spirits, ghost, ghosts",,"Spirits are living beings that are invisible to us humans. God is the eternal Spirit. Other gods are lesser spirits created by God. Angels and demons are spirits. Every human is both a spirit and a visible body together. When humans die, their spirit becomes a ghost, until it gets a new body.","demon, angel",,,GC 23-Feb-2019,
n,Stephen,,,"Steven was one of the first Christians who was known to be a wise leader, full of (well controlled by) the Holy Spirit. He served food to others, and he spoke boldly about Jesus. When he reminded some Jewish leaders about their own sins, they killed him by hitting him with big stones. (The name Stephen means Crown.)",,,,GC 19-Feb-2019,
t,strong drink,,,Strong drink is any liquid drink that contains alcohol.,"beer, wine, alcohol",,,GC 15-Feb-2019,
t,sulfur,brimstone,salfa (K),Sulfur is a yellow-coloured substance that burns with a bright flame and a strong smell. It is sometimes called brimstone.,,,,,
t,sword,swords,,"Swords are strong, long knives that soldiers used to fight with in battle. The sword is also a symbol of a king's power to make war and to punish criminals. ",,,,GC 08-Mar-2019,
t,sycamore,,"fig tree; tree (R);
fruit tree",Sycamore is a kind of fig (fruit) tree. It has spreading branches that are easy to climb and was often planted by roadsides to provide shade for travellers. Its wood was used for fuel and furniture.,,,,,
t,synagogue,,"house for proclaiming;
place where Jews gathered together (G);
house of worship (R); ","Synagogue means Come Together. Synagugues are religous meeting houses where Jews gather to read the Bible, to teach each other, to pray and to worship God. (Christian synagogues are called chapels or churches.)","temple, tabernacle",,,,
n,Syrian,"Syria, Syrians",,"Syria was and still is a country north-east of Israel. Syria and Israel often went to war against each other, and they still do. A Syrian military officer named Naaman began worhipping the LORD after the Prophet Elisha healed him of leprosy. ",,,,GC 07-Feb-19,
t,tabernacle,"sacred tent, tent of meeting, meeting tent","skin/leather house of God;
God's house (G); 
skin prayer-tent; house of canvas (ie tent) (R); ","Tabernacle means big tent. God ordered ancient Israelites to build a beautiful, portable tabernacle, so that his presence could live among and camp with them.  Also so they could worship him properly as they travelled in the wilderness. (After Solomon built a temple at Jerusalem, the tabernacle was no longer needed; the temple replaced the tabernacle. Jesus replaced both the tabernacle and the temple.)","temple, 
synagogue",,,Explicitating the materials might make the word impossible to translate.,
n,Tabor,Mt. Tabor,,Tabor is a mountain in northern Israel. It marked the boundaries between some Israelite tribes.,,,,GC 07-Feb-19,
n,Tamar,,,Tamar was King David's daughter and David's son Absalom's sister. ,,,,GC 08-Mar-2019,
t,tax collectors,tax collector,ones who get/carry fees (R);,"After the Romans captured Israel, they called it Judea and levied heavy taxes on everyone. Some Judeans/Jews collected taxes for the Romans, keeping part of the money for themselves. Most folk hated tax collectors, calling them sinners.",,,,,
t,teach,"teacher, teaching, taught, teaches, train",,"To teach or to train is to tell others something helpful or true whilst showing them how to obey or to apply that truth. Jesus commanded: ""Go make disciples by teaching others to obey My commanements.""","preach, prophet",,,GC 15-Feb-2019,
t,temple,"temples,
House of God,
God's house","big house/building of God (G); 
house of God;
meeting place for God and people;
big/primary worship house/place (P); house of giving (K); inside the fence of the house of giving (K)","Temples are houses for idols of pagan gods....the place  where God (gods) and people meet. For the Jews, there was only ever one Temple, located in Jerusalem.  The Law required all Jewish men to celebrate their feasts at the temple. . This was where their worship of God was centralized. Historically, there have been only a few [Jewish] Temples: (1) the skin tent Tabernacle built by Moses in the wilderness; (2) the majestic stone and gold Temple built by King Solomon in Jerusalem and destroyed by Babylon; (3) the smaller temple rebuilt along with Jerusalem under Nehemiah and Zerubbabel and then expanded by King Herod just before Jesus' birth and destroyed by the Romans in 70 A.D. (4) Jesus' body was a ""temple"" (a place where God and humanity met). (5) The New Testament teaches that Christians are now God's temple, because his Spirit dwells in them.","synagogue, tabernacle",,,,". In Israel, King Solomon built a magnificent temple for God at Jerusalem, and God's glory dwelt there for around 400 years. The Law required all Jewish men to celebrate their feasts at the temple. (Jesus foretold that the temple would be destroyed, which happened 40 years after he died and rose.) (.)"
t,thank,"thankful, grateful, gratitude",,"To thank someone means to tell what good action that persons has done for you. In the OT, believers thank God with an offering; in the NT we thank God by telling his good actions.",,,,"GC 23-Feb-2019 (In the NT, grace and thanks are the same Greek word.)",
t,throne,king's chair,,A throne was a chair upon which kings sat when deciding important matters. Throne is also a symbol that means kingship or the authority that a king has. Throne of Heaven means God who rules over heaven and earth. ,kingdom,,,GC 07-Feb-19,
t,tomb,"tombs, grave",,"A tomb is a cave where corpses were put for burial.  The Jews buried their dead people in tombs, so a tomb is their grave.",,,,,
t,town,village,,A village or town is a small group of family homes separated from other such groups.  A village or town is a smaller group than a city.  ,city,,,GC 08-Feb-19,
n,Vashti,,,Queen Vashti was the first wife of the Persian King Xerxes. He deposed her and made Esther his new queen. (The Persian name Vashti means Beautiful.),,,,GC 08-Mar-2019,
t,vine,"vines, vineyard, grapevine, grapevines",,"A vine is a plant that produces fruit called grapes. A vineyard is a garden where they grow grape vines. Men protected vineyads with stone fences and guarded them. In the Bible, God called Israel his vineyard, and Jesus calls himself a vine and his followers vine branches.","grape, wine",,,,
t,virgin,,,"Virgins are men or women, young or old, who have never had sex with anyone. In a king's palace, virgins were young women waiting to become a king's wife or concubine.","woman, wife",,,GC 07-Feb-19,
t,vision,,,"A vision is a dream that someone sees while awake. In a vision, one may see persons or things that are usually invisible. The Books of Daniel and of Revelation describe several visions about future events. The Apostle Paul saw Jesus in several visions.",dream,,,GC 07-Feb-19,
t,wait,"waited, waits, waiting",,"To wait for others means to stay where you are until they come. To wait for something means to keep watching for it till it happens. To wait for Jesus to return means to live in a way that pleases him so he will reward us, expecting that he will come.",rest,,,GC 23-Feb-2019,
t,wicked,wickness,,Wickedness is evil that causes harm. Wicked people are those who harm others because they disregard God's laws.,,,,GC 15-Feb-2019,
t,wife,wives,,"A wife is a woman who is married to a man. Rich men may have more than one wife. A king's first wife is called a queen. The day of her wedding, a wife is called a bride. Besides wives, kings may also have concubines whose sons cannot become king.","concubine, woman, virgin",,,GC 08-Mar-2019,
t,wine,,,"Juice from grapes, often diluted with water. When fermented, wine contains alcohol. Jews served wine to guests at weddings and during their annual Passover feast. Wine served in the Lord' supper is a reminder of Jesus' death.","beer, alcohol, strong drink, grapevine",,,GC 07-Feb-19,
t,wisdom,wise,"intelligence from God;
thinking the same about things that God does (G);
knowledge/wisdom (R); ",Wisdom is knowing and doing that which is true and right. God is all wise and he gives wisdom to all who ask him for it with faith. (Wisdom is also a Christian title for Jesus.),"foolish, knowledge",,,,
,woman,women,,"Women are female people. God created men and women to be equal partners in marriage and in caring for the earth. A married woman is called a wife. A slave woman who bears children for he master is called a concubine. Before marriage, a young woman is called a virgin if she is has not had sex and is not pregnant. ","wife, concubine, virgin",,,GC 08-Mar-2019,
t,world,,atmosphere / cosmos; world (R); ,"World sometimes means (1) the physical earth upon which all creatures dwell. 
Other times world means (2) the nations and governments that rebel against God. 
","earth, heaven",,,,
t,worship,,"calling on / praying to God; worship (R);
praising God;
giving God honor;
bowing (hitting knees on ground or breaking leg joints) before God;
doing work/service for God;
always doing what God wants you to (G);
magnify (W)","Worship includes every action or activity that humans perform to give honour to God (or to gods/idols). Thus, there are many ways in which we worship God, by our body position, by our serving one another, by teaching and learning Scripture, by songs and chants, by praying and by giving to meet urgent needs. ","prayer, praise",,,,
n,Xerxes,Ahasuerus,,"Xerxes the Great was the 5th king of the Persian Empire, 486–465 BC. He was also called Ahasuerus. (The name Ahasuerus means Chief.)",,,,GC 08-Mar-2019,
t,yeast,,is (transliteration) (R),"Yeast is substance that is used to make bread. It causes the dough to swell before baking. Only a little yeast is needed to make a large quantity of bread. (Yeast is a tiny plant that consumes flour and sugar, releasing air bubbles into bread dough.)",bread,,,,
n,Zacchaeus,"Zac, Zacchaeus, Zakias",,"The name Zacchaeus meand Clean, Pure. Zacchaeus was a Jewish tax collector working for the Roman government, who had become rich by cheating others. After he met Jesus, he repented of his dishonest activities.",,,,,
n,Zechariah,,,There were several men named Zechariah. One was king over Norther Israel. Another was a prophet of the Lord who wrote a book entitled with his name.  Another was the father of John the Baptist. (The name Zechariah means the LORD Remembers.),,,,GC 07-Feb-19,
n,Zedekiah,,,"King Zedekiah, son of King Joash, ruled over Judah in southern Israel. The Babylonian army took him captive and blinded him 586 years before Christ. Another man named Zedekiah opposed the message that the Prophet Micaiah spoke.(The name Zedekiah means the LORD is righteous.)",,,,GC 07-Feb-19,
n,Zeus,,,"Zeus, who is also called Jupiter, is the name of the chief Greek and Roman god.  Another god/spirit was believed to be his messenger. His name was Hermes.  When pagans became Christians, they stopped worshipping idols of Zeus, and began calling on God through Jesus' name.",,,,"Both European and Semitic philosophers made out Zeus and El to be the same God that the Hebrews worshipped. Thus, some pagans turned from their idols, honouring God through his human incarnation, Jesus.",
n,Zion,,,"Zion was an ancient name of one of the hills on which the city of Jerusalem is located. The word Zion (1) sometimes refers to Jerusalem, (2) other times it refers to heaven (the place where God is), and (3) sometimes refers to the New Jerusalem.",Jerusalem,,,"The consonants of Tsîwn can mean marker stone, along a road or at a grave site.",
